Country Name,Country Code,GDP per capita in US dollars 2023
"Early-demographic dividend,EAR,""4256,784144"""
"East Asia & Pacific,EAS,""12908,63771"""
"Europe & Central Asia (excluding high income),ECA,""8548,010378"""
"Europe & Central Asia,ECS,""29789,15403"""
"Ecuador,ECU,""6609,804082"""
"Egypt, Arab Rep.,EGY,""3457,456916"""
"Euro area,EMU,""45130,12405"""
Eritrea,ERI,
"Spain,ESP,""33509,0128"""
"Estonia,EST,""30133,30445"""
"Ethiopia,ETH,""1272,016282"""
"European Union,EUU,""41422,79997"""
"Fragile and conflict affected situations,FCS,""1830,332718"""
"Finland,FIN,""52925,68976"""
"Fiji,FJI,""5888,736686"""
"France,FRA,""44690,93454"""
"Faroe Islands,FRO,""71717,70422"""
"Micronesia, Fed. Sts.,FSM,""4084,169404"""
"Gabon,GAB,""7802,836596"""
"United Kingdom,GBR,""49463,85546"""
"Georgia,GEO,""8283,669602"""
"Ghana,GHA,""2260,287413"""
Gibraltar,GIB,
"Guinea,GIN,""1541,040509"""
"Gambia, The,GMB,""888,1574077"""
"Guinea-Bissau,GNB,""951,2427483"""
"Equatorial Guinea,GNQ,""6677,793435"""
"Greece,GRC,""23400,72788"""
"Grenada,GRD,""11246,34512"""
Greenland,GRL,
"Guatemala,GTM,""5762,821746"""
Guam,GUM,
"Guyana,GUY,""20765,35036"""
"High income,HIC,""48752,71274"""
"Hong Kong SAR, China,HKG,""50531,73854"""
"Honduras,HND,""3231,657245"""
"Heavily indebted poor countries (HIPC),HPC,""1231,81257"""
"Croatia,HRV,""21865,45628"""
"Haiti,HTI,""1705,779055"""
"Hungary,HUN,""22141,86698"""
"IBRD only,IBD,""7832,149756"""
"IDA & IBRD total,IBT,""6075,122993"""
"IDA total,IDA,""1510,984397"""
"IDA blend,IDB,""1687,281337"""
"Indonesia,IDN,""4876,314327"""
"IDA only,IDX,""1424,845979"""
Isle of Man,IMN,
"India,IND,""2480,792087"""
Not classified,INX,
"Ireland,IRL,""103887,8004"""
"Iran, Islamic Rep.,IRN,""4465,63767"""
"Iraq,IRQ,""5565,126446"""
"Iceland,ISL,""79636,95486"""
"Israel,ISR,""52642,42675"""
"Italy,ITA,""39003,3161"""
"Jamaica,JAM,""6839,725039"""
"Jordan,JOR,""4455,505405"""
"Japan,JPN,""33766,52683"""
"Kazakhstan,KAZ,""12918,86613"""
"Kenya,KEN,""1952,304579"""
"Kyrgyz Republic,KGZ,""1970,15781"""
"Cambodia,KHM,""2429,748535"""
"Kiribati,KIR,""2106,760004"""
"St. Kitts and Nevis,KNA,""22573,67248"""
"Korea, Rep.,KOR,""33121,37129"""
"Kuwait,KWT,""33729,79855"""
"Latin America & Caribbean (excluding high income),LAC,""10180,70552"""
"Lao PDR,LAO,""2066,949798"""
Lebanon,LBN,
"Liberia,LBR,""771,8871421"""
"Libya,LBY,""6172,812469"""
"St. Lucia,LCA,""13554,66519"""
"Latin America & Caribbean,LCN,""10796,86237"""
"Least developed countries: UN classification,LDC,""1306,234785"""
"Low income,LIC,""900,9632581"""
Liechtenstein,LIE,
"Sri Lanka,LKA,""3827,964956"""
"Lower middle income,LMC,""2415,598545"""
"Low & middle income,LMY,""5658,547496"""
"Lesotho,LSO,""916,2829793"""
"Late-demographic dividend,LTE,""12184,20708"""
"Lithuania,LTU,""27786,00578"""
"Luxembourg,LUX,""128678,1899"""
"Latvia,LVA,""22502,84299"""
"Macao SAR, China,MAC,""67476,52908"""
St. Martin (French part),MAF,
"Morocco,MAR,""3771,446289"""
"Monaco,MCO,""256580,5151"""
"Moldova,MDA,""6729,412868"""
"Madagascar,MDG,""506,1593687"""
"Maldives,MDV,""12530,36024"""
"Middle East & North Africa,MEA,""8499,843064"""
"Mexico,MEX,""13790,02434"""
"Marshall Islands,MHL,""6678,342391"""
"Middle income,MIC,""6254,08765"""
"North Macedonia,MKD,""8624,293609"""
"Mali,MLI,""869,2702343"""
"Malta,MLT,""40395,76921"""
"Myanmar,MMR,""1233,196662"""
"Middle East & North Africa (excluding high income),MNA,""3797,10418"""
"Montenegro,MNE,""12221,47755"""
"Mongolia,MNG,""5838,631081"""
Northern Mariana Islands,MNP,
"Mozambique,MOZ,""622,9856193"""
"Mauritania,MRT,""2120,823204"""
"Mauritius,MUS,""11613,04416"""
"Malawi,MWI,""602,3436198"""
"Malaysia,MYS,""11379,0861"""
"North America,NAC,""79640,42962"""
"Namibia,NAM,""4168,285211"""
New Caledonia,NCL,
"Niger,NER,""642,9379179"""
"Nigeria,NGA,""1596,636961"""
"Nicaragua,NIC,""2612,870662"""
"Netherlands,NLD,""64572,00596"""
"Norway,NOR,""87925,09442"""
"Nepal,NPL,""1377,626036"""
"Nauru,NRU,""12982,76121"""
"New Zealand,NZL,""48280,81142"""
"OECD members,OED,""46724,01571"""
"Oman,OMN,""21549,83687"""
"Other small states,OSS,""16728,26757"""
"Pakistan,PAK,""1365,277432"""
"Panama,PAN,""18686,4051"""
"Peru,PER,""7906,585029"""
"Philippines,PHL,""3804,87258"""
"Palau,PLW,""15899,42249"""
"Papua New Guinea,PNG,""2957,682625"""
"Poland,POL,""22056,66617"""
"Pre-demographic dividend,PRE,""1453,262268"""
"Puerto Rico,PRI,""36779,05949"""
Korea, Dem. People's Rep.,PRK,
"Portugal,PRT,""27331,20949"""
"Paraguay,PRY,""6276,351139"""
"West Bank and Gaza,PSE,""3372,349744"""
"Pacific island small states,PSS,""4146,436206"""
"Post-demographic dividend,PST,""54041,53969"""
French Polynesia,PYF,
"Qatar,QAT,""80195,87465"""
"Romania,ROU,""18404,27309"""
"Russian Federation,RUS,""13817,0459"""
"Rwanda,RWA,""1010,268929"""
"South Asia,SAS,""2303,30291"""
"Saudi Arabia,SAU,""32093,9623"""
"Sudan,SDN,""2183,441406"""
"Senegal,SEN,""1706,44218"""
"Singapore,SGP,""84734,25592"""
"Solomon Islands,SLB,""2041,636491"""
"Sierra Leone,SLE,""757,858336"""
"El Salvador,SLV,""5391,069262"""
San Marino,SMR,
"Somalia,SOM,""597,4588546"""
"Serbia,SRB,""12281,50585"""
"Sub-Saharan Africa (excluding high income),SSA,""1621,261481"""
South Sudan,SSD,
"Sub-Saharan Africa,SSF,""1622,807051"""
"Small states,SST,""15086,09155"""
"Sao Tome and Principe,STP,""2940,933529"""
"Suriname,SUR,""5494,074094"""
"Slovak Republic,SVK,""24491,37719"""
"Slovenia,SVN,""32610,11092"""
"Sweden,SWE,""55516,83648"""
"Eswatini,SWZ,""3610,608797"""
"Sint Maarten (Dutch part),SXM,""38077,54449"""
"Seychelles,SYC,""17879,23965"""
Syrian Arab Republic,SYR,
"Turks and Caicos Islands,TCA,""30348,81144"""
"Chad,TCD,""680,6398779"""
"East Asia & Pacific (IDA & IBRD countries),TEA,""10011,99413"""
"Europe & Central Asia (IDA & IBRD countries),TEC,""11977,33988"""
"Togo,TGO,""985,6975126"""
"Thailand,THA,""7182,025258"""
"Tajikistan,TJK,""1160,81187"""
"Turkmenistan,TKM,""8232,65226"""
"Latin America & the Caribbean (IDA & IBRD countries),TLA,""10553,71099"""
"Timor-Leste,TLS,""1502,519638"""
"Middle East & North Africa (IDA & IBRD countries),TMN,""3802,179725"""
Tonga,TON,
"South Asia (IDA & IBRD),TSA,""2303,30291"""
"Sub-Saharan Africa (IDA & IBRD countries),TSS,""1622,807051"""
"Trinidad and Tobago,TTO,""20016,1503"""
"Tunisia,TUN,""3977,695166"""
"Turkiye,TUR,""13105,65857"""
"Tuvalu,TUV,""6344,775019"""
"Tanzania,TZA,""1224,489624"""
"Uganda,UGA,""1002,309139"""
"Ukraine,UKR,""5069,703125"""
"Upper middle income,UMC,""10451,34455"""
"Uruguay,URY,""22797,81117"""
"United States,USA,""82769,41221"""
"Uzbekistan,UZB,""2849,514611"""
"St. Vincent and the Grenadines,VCT,""10520,44415"""
Venezuela, RB,VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
"Viet Nam,VNM,""4282,088517"""
"Vanuatu,VUT,""3515,236336"""
"World,WLD,""13169,59823"""
"Samoa,WSM,""4330,178405"""
"Kosovo,XKX,""5960,158205"""
"Yemen, Rep.,YEM,""477,4090287"""
"South Africa,ZAF,""6022,542542"""
"Zambia,ZMB,""1330,727806"""
"Zimbabwe,ZWE,""2156,034004"""
